jop,368 datasets
=1,144
>1,93
,601
.7z,3
.ado,2
.ag,4
.amw,2
.b,2
.bib,7
.brew,1
.bst,1
.bug,1
.c,5
.cpg,1
.cpp,67
.css,140
.csv,1812
.dat,6
.dbf,31
.deb,2
.do,458
.doc,8
.docx,30
.dta,278
.dtd,1
.e00,1
.eps,1
.gph,5
.grec,3
.gz,58
.h,945
.history,14
.hpp,9652
.html,128
.inp,5
.ipp,157
.jags,5
.js,3
.kml,1
.lgs,6
.lock,1
.log,33
.lyx,8
.m,8
.map,1
.mat,1
.md,12
.mo,8
.opts,1
.out,1
.patch,1
.pdf,187
.pl,1
.plist,21
.png,2
.pper,14
.prj,20
.py,3
.qgs,2
.qgs~,2
.qpj,9
.r,748
.rar,2
.rd,18
.rda,41
.rdata,98
.rdb,107
.rds,418
.rdx,107
.re,1
.rhtml,2
.rmd,47
.rnw,53
.rout,17
.rproj,1
.rra,1
.rrst,1
.rtex,2
.rtf,28
.rua,1
.sas,1
.save,4
.sbn,3
.sbx,2
.sh,5
.shp,32
.shx,27
.smcl,5
.so,45
.sps,9
.spv,1
.sthlp,1
.sty,4
.syd,2
.tab,683
.tar,1
.tex,55
.tif,1
.tiff,2
.txt,188
.win,1
.xls,5
.xlsx,14
.xml,4
.yaml,1
.yml,1
.zipped,1
.zipx,1
