,ajps,jop,the_review
clear,0.008799927047236915,0,0
drop,0.04281415283603866,0.0180568822604998,0.04242795830778663
egen,0.03551887652744848,0.013681323760515207,0.05027590435315757
estadd,0,0.025421378609065418,0.05297363580625383
estimates,0.012994710924676273,0.042954426401257205,0.01741263028816677
eststo,0,0.01371213755276862,0
eststo:regress,0,0,0.01477621091354997
esttab,0,0,0.01489883507050889
foreach,0,0.01913536498936924,0.02035561005518087
fre,0,0,0.014040465971796444
generate,0.14394492066387016,0.10279481095738452,0.09288779889638259
graph,0.008663140616450848,0.012880165161926478,0.012568976088289392
if,0,0,0.01765787860208461
keep,0.009757432062739376,0,0
label,0.0213386832026263,0.02942717160200906,0.02685469037400368
local,0.009392668247309867,0.026469047545681447,0.056039239730226856
margins,0,0.014112716852062984,0
matrix,0.051750866314061644,0.02640741996117462,0.026486817903126916
mdesc,0.0233448841874886,0,0
outreg2,0.009803027539668064,0.01149354451052291,0
quietly:summarize,0,0,0.012691600245248314
recode,0.033923034834944375,0.08498443903491203,0
regress,0.018146999817618092,0.03423412319354143,0.01336603310852238
rename,0.06041400693051249,0.014883061658398299,0
replace,0.20800656574867774,0.11129941761932641,0.07700797057020232
save,0.009073499908809046,0,0
summarize,0.038300200620098486,0.016238868517548456,0.01342734518700184
tabulate,0.02161225606419843,0.018457461559794164,0.029920294297976702
use,0.017736640525259893,0.01642375127106893,0.019681177191906804
other,0.21466350538026613,0.34693248698117285,0.37424892703862667
