journal,command,n
ajps,regress,506
ajps,xtreg,198
ajps,logit,78
ajps,xtlogit,61
ajps,stcox,35
ajps,svy:logit,33
ajps,mixed,32
ajps,probit,23
ajps,oprobit,22
ajps,melogit,20
ajps,mlogit,17
ajps,xtmelogit,16
ajps,areg,16
ajps,ivreg2,16
ajps,svy:ologit,12
ajps,xttobit,8
ajps,sem,8
ajps,ivregress,8
ajps,svy:regress,7
ajps,xtmixed,6
ajps,ologit,4
ajps,meologit,4
ajps,psmatch2,2
ajps,rd,2
ajps,rdrobust,2
ajps,interflex,2
ajps,rollreg,1
ajps,pscore,1
ajps,DCdensity,1
ajps,impute,1
ajps,xtivreg,1
jop,regress,1391
jop,xtreg,522
jop,probit,367
jop,mlogit,348
jop,logit,244
jop,oprobit,159
jop,areg,114
jop,xtpcse,110
jop,ivreg,108
jop,ml,105
jop,svy:oprobit,87
jop,reghdfe,82
jop,ologit,74
jop,melogit,65
jop,clogit,39
jop,svy:regress,37
jop,stcox,37
jop,mixed,34
jop,impute,29
jop,ivregress,29
jop,glm,24
jop,streg,24
jop,sem,24
jop,estsimp,21
jop,xtivreg2,19
jop,psmatch2,16
jop,xtlogit,16
jop,eivreg,12
jop,ivreg2,11
jop,tobit,10
jop,ivprobit,9
jop,svy:probit,8
jop,gologit2,7
jop,xtmixed,7
jop,xtabond2,6
jop,nbreg,4
jop,meologit,4
jop,btscs,3
jop,sureg,2
jop,xtgls,2
jop,heckman,2
jop,xtabond,2
jop,DCdensity,1
jop,interflex,1
the_review,regress,766
the_review,areg,260
the_review,logit,158
the_review,estsimp,151
the_review,xtreg,104
the_review,xtivreg2,69
the_review,psmatch2,54
the_review,xtmixed,39
the_review,probit,36
the_review,rdrobust,32
the_review,meologit,30
the_review,mixed,28
the_review,reghdfe,25
the_review,xtmelogit,22
the_review,melogit,17
the_review,glm,10
the_review,xtpcse,8
the_review,ivprobit,6
the_review,nbreg,6
the_review,oprobit,6
the_review,ologit,4
the_review,DCdensity,3
the_review,sureg,2
the_review,ivreg2,2
the_review,xtlogit,1
the_review,interflex,1
the_review,relogit,1
